,用户名,用户主页,评分,评分时间,赞同数量,评论详情
10,https://www.douban.com/people/misterinfamous/,Mr. Infamous,40,2019-01-08 21:50:35,518,世所不容这四个字，降到殊途同归者身上，格外凄绝又格外悲壮。白蛇委身的男人，这回多了一份灯蛾扑火的奋勇，也多了一份拨云见月的智慧。就像是杨过与小龙女，不仅是改写了世俗的不公，而且是赢取了彼此的平等。所以见惯两腿恶人后的许宣，能说多一条尾巴又怎样，所以感受过大爱无疆的小白，也能说弃掉千年修行又如何。浮生掠过，还是只记那点温存，无论几世何年，尚有断桥在。这样旧瓶新酒的故事，追光从画面与质感上都展现得太惊艳。再打磨下，大有可期。
11,https://www.douban.com/people/skymoto/,团小纸,30,2019-01-11 14:43:38,402,追光的技术已经很好了，就差一个好编剧……
12,https://www.douban.com/people/84391390/,Leediudiu,50,2019-01-13 18:30:04,91,结尾大战稍微有点崩，但是不影响热泪盈眶加5分啊，结尾曲旋律想起来的时候，我这个80后大叔又泪目了
13,https://www.douban.com/people/Dcynic/,Oracle,30,2019-01-10 23:06:37,393,片尾曲响起之前，我从未想过这首旋律如此熟悉的歌曲可以有如此力挽狂澜的功效
14,https://www.douban.com/people/154147105/,天天我向上,40,2019-01-11 00:23:58,391,动画设计在目前国漫里还是相当不错了，有些场景甚至有大气滂沱之感，让人惊艳了，而且音乐也贼好听，难得了！
15,https://www.douban.com/people/104276592/,噜噜123,30,2019-01-14 02:19:43,270,"剧情太莫名其妙了
小白和阿宣莫名其妙就上床了，上完床小白莫名其妙就要六亲不认离开阿宣，小白莫名其妙就要去屠村，师傅莫名其妙就要吸干所有徒弟的精元……"
16,https://www.douban.com/people/ballteda/,掉线,30,2019-01-17 00:21:13,232,【C+】徐克+仙剑奇侠传，电影不差，但国漫崛起了吗？没有的。经过数年，国产动画已基本解决态度差，制作糙，取向价值低幼等问题。真正摆在他们面前的桎梏，是“写出属于动画的剧本”，而不是讲一个用真人形式也能拍摄的故事。动画的意义不是给剧作潦草遮羞，而是为了去展现想象力与现实世界无法实现的东西，等华语动画人能普遍有这层意识，国产动画才真正有赶日超美的可能。
17,https://www.douban.com/people/cliffx/,范克里夫大尉,50,2019-01-13 23:13:43,76,真心好看到炸裂，完全没尿点，斗法的场面牛逼疯了。希望多给排片啊……另外片尾彩蛋别错过，很重要。（求出老妖和狐狸精的手办啊）
18,https://www.douban.com/people/zhanyakui/,kakakarl,40,2019-01-08 20:07:11,342,蛇能有多冷血，睡完许宣马上就说恩断义绝再也不见！纯正的中国风，掺杂着水墨和写意，阴阳五行奇门遁甲，形象和技术还是一如既往地好，在大银幕看见国产动画的吻戏和床戏，虽然故事里还是有不足，但是拍前史比翻拍正统《白蛇传》靠谱，最后还有一些点到即止的致敬，2D上映，也没用3D骗钱，是追光动画最好的一次！
19,https://www.douban.com/people/135703439/,天堂电影院,50,2019-01-11 19:59:20,92,视觉盛宴，惊为天人啊，这才是国漫啊，一直在进步的国漫啊，给100颗星都不足以表达对国漫雄起的激动，追光人加油啊！
20,https://www.douban.com/people/167774025/,尝胆,20,2019-01-11 19:12:14,1297,中学生写网文，故事讲不好，骚句子特别多。男主冻成渣后旁边一女观众说了句“终于死了”。
21,https://www.douban.com/people/june.q/,马 夋,20,2019-01-03 19:15:27,837,坦白说，这两年追光一直没有啥进步。尤其这部上面，中国元素依然符号化的滥用。好像很多人分不清，蛇、蟒、蛟、龙是四个不同的生物。
22,https://www.douban.com/people/angle223/,不良生,30,2019-01-12 21:28:34,219,我决定再去看十遍《新白娘子传奇》。
23,https://www.douban.com/people/72002197/,极圈里的燕鱼,40,2019-01-06 23:36:12,309,既然是成人向作品，剧情也不该这么简单幼稚。还有什么轮回转世得道修仙这些廉价的页游网文不离口的台词极大弱化了视觉营造出的史诗感。画面质感和人物动作在细腻和生硬之间不时切换。不过法术过招的视觉特效真的很赞，尤其是国师布阵大战众妖的戏份，很过瘾，很有想象力，也很有视觉冲击力，甚至让我想到《最后的守护者》中对于艾格文屠魔的描写。在这个廉价3D横行影院的年代，很纳闷为什么有些理应强化震撼力的作品却选择2D，就冲打斗场面的视觉特效，我觉得去看不亏。
24,https://www.douban.com/people/Sultenfuss1972/,路易思,50,2019-01-16 00:26:48,60,白蛇这是赤裸裸的骗炮……
25,https://www.douban.com/people/150048930/,瑜笙皆假期,10,2019-01-08 18:11:29,948,看网红冯提莫版白蛇如何“cos”泰坦尼克号的冰山别离。
26,https://www.douban.com/people/metaphor17/,metaphor17,20,2019-01-08 15:37:31,817,由于照顾海外市场的需要，影片在故事层面做了妥协，略微有些薄弱。技术上也称不上太好吧，为何大家对国漫如此的宽容？
27,https://www.douban.com/people/171769404/,哦,50,2019-03-06 10:05:20,2,许仙终于可以和白蛇并肩作战了，我最不满意这个故事的就是许仙一直被保护，两个人的感情不对等
28,https://www.douban.com/people/70563833/,MrZhai,30,2019-01-12 09:51:20,204,讲真，制作人是不是腿控？恋足癖？
29,https://www.douban.com/people/B613/,丸秋,30,2019-01-10 22:57:26,182,宝青坊好评，狐妖太酷了。整个剧本都欠打磨，转合没一个不生硬的，狗可能是从《花木兰》小龙那里照搬过来的。许宣有屌癌，自大狂。
30,https://www.douban.com/people/qijiuzhiyue/,桃桃淘电影,30,2019-01-22 13:54:02,69,以追光自己作品的角度，终于确实有提升，起码找对了方向，不再弄那些土洋结合，小孩子乱蹦的东西了。剩下的，就是更加丰富自己的故事了。
31,https://www.douban.com/people/woshizhu87/,萍水相逢,30,2019-01-11 12:56:12,109,光天化日就这么来了？上一秒刚上床下一秒就翻脸？画面是真美，就是人物表情眼神跟傀儡一样空洞
32,https://www.douban.com/people/74913423/,空灵赌徒,10,2019-01-03 18:55:45,291,诶哟 当看到四足三头鸟出现我就对本片毫无期待了 这个审美呀 真的是 花花绿绿的特效 实在太浮夸了 最后什么乱七八糟的渲染气氛 看的头疼
33,https://www.douban.com/people/PandaMovieMusic/,Panda的阴影,30,2019-01-08 22:28:22,70,还想着追光和华纳合拍，兴许能改良《小门神》《阿唐奇遇》《猫与桃花源》诸如「人物台词嘴型对不上、动作力度有欠缺、形象设计欠佳（大部分蛇妖真是欣赏无力）……」等问题，结果老毛病一如既往地延续下来，我也是醉了。当然可圈可点的背景制作也得到传承（部分蛮有中国风的空镜挺美轮美奂的）。至于故事，这个追光动画的短板，真是一而再再而三地不满意。每次都3.5星鼓励，结果至今都没质的改善。
34,https://www.douban.com/people/162473935/,齐雨,40,2019-01-08 20:35:51,255,一时欢情，我记了五百年。知道为什么吗？因为和一切永恒相比，转瞬即逝的永远最美好。
35,https://www.douban.com/people/153112416/,思路乐,30,2019-01-12 12:00:46,64,【C】我算是明白国漫现在到底尴尬在哪儿了，就是他们糟糕的市场定位。作为一部动画电影无论如何首选受众目标肯定是儿童，但本片的主题“爱情”却并不是那么令人好接受，况且主创还加入了不少恶趣味和少儿不宜画面，这就导致本片不是那么能让孩子在电影院看的高兴。另一方面，故事上由于时长所限，导致叙事节奏太快，有很多人物性格的转变实在太难以令人信服，这就造成了一种电影与观众的隔阂感，这也让电影无法有足够的吸引力去让成年观众买票。这样“高不成低不就”的尴尬定位导致本片很难在商业上获得成功。唉，没办法，国漫目前还是只能缓慢的螺旋上升发展。
36,https://www.douban.com/people/wxs723/,又又,50,2019-01-12 15:00:23,49,真好看啊啊啊啊，画风像仙剑，视觉像徐克，故事也很棒！好喜欢狐狸精哦，许仙也终于不再是文弱书生了。小青青好可怜哦沦为炮灰…好久没被这么俗套的爱情故事感动了…
37,https://www.douban.com/people/china-undead/,武侠小王子,40,2019-01-12 15:10:54,206,我想拜那位蒙面小道士为师，不知道有什么渠道吗？
38,https://www.douban.com/people/50694367/,甘豆腐,50,2019-01-12 01:56:47,59,"看之前：预告片演的都是啥玩意儿啊！追光到底想不想在圈内混啦净瞎几把乱改！人物怎么这么丑啊！不看不看！


看之后：真香。。。"
39,https://www.douban.com/people/qiaotaizi/,zitsunari,30,2019-01-19 15:40:05,34,「共享共有，万流归元」这个口号的隐喻太明显了，前半句是表，后半句是里，影射的是级拳的实质，所以妖妇和道士之争，实际也就是xxx和xxx之争，无非妖在野而人掌拳，道士剿蛇固然残忍，当妖妇击败了道士，所作所为有过之而无不及。
40,https://www.douban.com/people/127665862/,如墨画卷,40,2019-01-05 21:48:16,234,唯美的风格、黑白水墨风的影像、浪漫的故事，将白蛇与许仙的美好爱情得以近乎完美的诠释；影片以人与妖如何共存为核心，以善恶的命题为起始点，以此来诠释许仙与白蛇之间的前世姻缘。与此同时，片中关于五行与古乐的“描写”，更是将“前世今生”这个命题描绘的淋漓尽致。
41,https://www.douban.com/people/zhangzongqian/,亵渎电影,20,2019-01-16 02:46:00,604,就这质量，不就是Netflix的网大水准吗？各种一锅乱炖的致敬元素让它有着浓浓的大数据感，工业水准很不错，但故事却又空洞无物。相比去年《风语咒》，它的优点是剧作上没有方向性的错误，缺点是故事的层次感太弱，导演处理动作戏的能力也是野心很大，能力很差。两位导演还那么想拍动作戏，结果处理动作戏的能力跟隔壁《大黄蜂》的导演似的，只会一刀斩，感觉导演更适合去拍《一拳超人》。就像酷炫屌炸天的纸片人和那群奇形怪状的小妖精，就是撑场面的活道具？至于这个中学生网文感的一见钟情约炮故事，和白蛇、许宣这样的棒槌人物，你不能仗着有《新白娘子传奇》和徐克的《青蛇》之类的影视剧作品，就可以在人物塑造上这么偷工减料。这么一个故事，换成动画，紧随当下的网红脸审美潮流，把人物造型做成大型网游，再老调重弹一遍就那么有意思？
42,https://www.douban.com/people/60666720/,末路狂花。,30,2019-01-11 19:14:27,81,画面还行，剧情以及人物塑造差强人意，没什么打动人心的情节和细节，如果不是贴了个国产动画的标签，平庸得让人过目就忘。
43,https://www.douban.com/people/celt/,好运珠珠,40,2019-01-03 18:00:32,166,故事讲述了白蛇在西湖断桥与许仙一见钟情的前世因缘。动画风格唯美浪漫，有黑白的水墨画风格，又有奇特诡异的妖魔风格。作为动画片的标配，片中的小狗狗给本片带来了很多欢声笑语。本片集爱情与魔幻为一体，颇有徐老怪版狄仁杰以及倩女幽魂的神韵。
44,https://www.douban.com/people/93124222/,寒枝雀静,30,2019-01-19 14:33:54,37,D / 剧作其实一直缺少一个足够有内聚力的主轴，导致文本上种族、爱情、生死、记忆等等都有种穿插乱飞的混杂感，缺少主题上的纵深递进。情感线的律动也因为奇观展示的需求被遮蔽掉不少。当然最大的bug还是一个女性叙述的回忆却暴露出过度男性向的趋势，所谓成人动画大概还是偷换了性别主语的成人。尽管整体依然保守且有大量显而易见的缺点，却能被细节上的恶趣味娱乐到。各色设定虽然简单直白却处处透露出“好邪恶好强大”的气息，在审查限制之内留出了颇为魔幻的臆想空间。国漫横向比较而言个人还是更喜欢《大鱼海棠》。
45,https://www.douban.com/people/57987263/,海角七号,20,2019-01-13 19:33:44,690,八分是认真的么？？逻辑不通，剧情老套，感情空洞……还有，能不能给女性角色穿条裤子换掉鞋拖！
46,https://www.douban.com/people/wudaoxing/,次等水货,30,2019-01-11 20:08:47,51,不如预期，开场几句对话、一个道具、男主的名字第一次被叫起就能猜到结局的样貌了。结局在一开场就被参透也没啥，那看过程好了，却明显能感到这个故事开发的痕迹，仿佛创作者们凑在一起头脑风暴一番，说要有这个要有那个，然后由编剧串起来填充一下台词，完了就开始制作，结果却让人感觉这个故事散发不出活力。且它没有大的世界观，很多桥段都有别人的影子，应该是从《哈利·波特》、《天龙八部》、《青蛇》等作品中汲取过营养。
47,https://www.douban.com/people/syfan/,野思,30,2019-03-03 17:37:46,1,追光搞门神茶宠低幼向失败之后搞成人向。“既然以前小孩不买我们的账那我们来讨好大人吧！”效果竟然远超想象，法宝工坊那里我很喜欢，萝莉面老狐狸比小青小白更吸粉，剧情啥的就算了吧依旧难看。
48,https://www.douban.com/people/lephemera/,蜉蝣,30,2019-01-13 19:54:28,19,一会儿古韵一会儿灾难片的画风以及古装高开衩露大腿的造型，看得人很分裂。新编的故事充满拼贴感。对战节奏紧凑超过预期，但依然摆脱不了你大我更大的直观视觉对比，多用点技能交代不行吗？总体值得鼓励！
49,https://www.douban.com/people/66331142/,贡丸猩猩,20,2019-01-08 21:42:52,557,披着白蛇设定的打怪片，最后还要强扭到正传。小时候看白娘子传奇，白蛇是一个智慧，勇气，敢于反抗传统的充满魅力的女性角色；但9012年了，白蛇却变为一个完全被动的被拯救的女性角色，可悲哦…
50,https://www.douban.com/people/50060410/,朝阳区陆依萍,20,2019-01-15 17:53:50,489,哈哈，约P就约P，约出感情那可还行...
51,https://www.douban.com/people/48032600/,连子glu,50,2019-01-14 00:31:29,44,这是我人生中第一个二刷的电影，喜欢的不得了
52,https://www.douban.com/people/grinch/,大奇特(Grinch),20,2019-01-08 20:00:48,366,新新白娘子前传，前面用一首《缘起》给船夫的《渡情》除旧立新，表明了创新的意图。然而新编的故事却很薄弱，感情突兀，转折生硬，国师领便当及师父的转变都很唐突，结尾又是那套比大更大的现原形对战模式。大概只有最后一分钟回归青城山下白素贞时比较好看。
53,https://www.douban.com/people/EarlVampire/,叶随霓,10,2019-01-09 20:17:20,139,身体和五官比例严重失调，因为是妖怪，所以不会捏脸么？光是看图就吓死了，都不敢看剧情了。 这个电影：角色模型太多圆滑，女性角色的锥子脸造型是用来符合网红审美的么？然后从男性角色和村民的形象，还是流水线出品。不仅不够细腻，更加的不够真实。其次，整个剧情并没有什么特别的吸引人的地方，后半段的剧情就像是流水账一般，几个转折的地方也非常的生硬。---不好看。。。
54,https://www.douban.com/people/70201945/,不野,50,2019-01-16 09:30:01,38,我还想看宝青坊老板娘的片
55,https://www.douban.com/people/65400706/,冰镇西瓜橘子水,40,2019-01-09 20:10:59,166,和风语咒一样的毛病 结尾大战缺经费匆匆结束 但是风景很美 中间一段青白二蛇斗小道士的打斗很惊艳 还有白娘子也太美了 全程看脸 四星鼓励
56,https://www.douban.com/people/evelynk3/,6600,10,2019-01-18 07:50:54,129,？就这能8分，道德绑架名不虚传。想起去年陪小侄子看熊出没的惊喜，国动什么时候能认真平等的关注子供向作品，能意识到把它们包含其中的国动早已有了长足进步。而不是抓住一个白蛇就高举国动大旗，如革命希望般大做文章全民动员？心血来潮的所谓国动支持者，有多少是自己正歧视着国产动画呢？
57,https://www.douban.com/people/3161053/,废铁城的小月亮,40,2019-01-10 22:40:45,123,居然是和华纳合拍，制作中方为主，很惊喜！王总放弃搞创作之后，追光原本就很厉害的技术助力整片水平腾飞，从小门神开始的粒子旋转大法到这一部已经用到了出神入化的地步2333唯一希望更进一步的就是完全原创能达到这次的水准吧～最后，两口子谈恋爱的时候请多关爱一下旁边的单身狗，不然ta下辈子可能会变成你们的姐夫……（姐姐做错了什么！）推荐观影，期待追光的下一部作品～
58,https://www.douban.com/people/48480567/,Jorrow,20,2019-01-08 20:57:46,269,国产动画里的超级大片，可惜电影基本也只有白花花的大腿，万万没想到国产动画成人化到都有云雨部分了。技术跟故事始终此长彼短，情节的转变甚至人物的出场非常仓促突然。
59,https://www.douban.com/people/Len./,恶魔的步调,40,2019-01-11 19:34:01,80,灭霸，你是不是窜场了啊？
60,https://www.douban.com/people/54814792/,Sherlock,40,2019-01-04 20:45:46,101,很惊喜！观影过程中一直在默默计算，关于剧情的设计都经得起检验，关于想象力也有足够的展现。缺点大概是：价值的变化不够详细，人与妖的感情应该冲破些什么、牺牲掉什么，人与妖能否、如何和谐共存；一些人和物件的设定不够详细，玉钗的功能应该细化一点，男主中的蝙蝠，会说话的狗和地下的符文等应该承受更多的功能；还有就是关于中国风的老问题，但已经无需苛求太多。最后的大战的缘起逻辑有点弱，但三层的节奏都非常精彩——在很多商业片里都没见到。现在能做出给人留下印象的人物的不多，而本片却产出了人气角色：坊主的香艳，真是非同一般。
61,https://www.douban.com/people/movie007wn/,蒜 | BOY A✎,30,2019-01-15 11:48:26,37,都被《新白娘子传奇》的BGM感动了，还不如多看两遍《新白娘子传奇》，大家对国产动画真是太宽容了，对纯爱故事太向往了，用近两年最贵的一张电影票支持国产动画，尽力了
62,https://www.douban.com/people/132877053/,LOD,40,2019-01-11 06:26:26,98,画面非常棒，人设也很喜欢，女主很漂亮，结尾桥上回眸最惊艳，肚兜这个单身狗也很有意思，最有特色的还是宝青坊的狐妖，诡异的萌感，激情床戏我个人觉得是很唯美啦。中间两条蛇和小道士的打戏其实比后期大蛇那段更精彩，看的更爽，音乐也是很棒的，还勾起经典回忆，周深的那首也很好听，之前听到才决定去看的。说说缺陷，男主完美的像个神，抗揍痴情懂得多，可惜长得不够苏，转世成许仙还顺眼一丢丢；反派太单薄太弱了，设定感觉也讲的不是很清楚，还有那个钗的具体作用也迷迷糊糊的，是连带魂魄记忆一起封印了？
63,https://www.douban.com/people/154751472/,于非,10,2019-01-15 23:10:37,116,这么经典的神话故事就不能好好写前传吗？还吸星大法？就不能好好奋斗、踏踏实实修炼吗？还有小青，是怎么从形神俱灭阵中出来的？少有的几幕水墨画运用的不好，很突兀跟整体画风差别太大，像是穿越到另一部片子。配音配乐太嫩，渔舟合唱简直尴尬死。
64,https://www.douban.com/people/54308994/,森夏,30,2019-01-03 16:46:08,40,画面和动作不错啦，有钱投资，追光动画就不能选个好本子么🤣，太网络文学了！很俗套，上来就失忆梗，人物情感进展突兀，整个故事太简单，很低智，一言不合就开打。人物没意思，台词太生硬。没什么新意，能看到很多同类作品的影子。最后一战蛇的形象想到了《龙之战》，但好得多打一会儿啊，危情紧张都没达到最高。此外剧情上还有好多瑕疵。还有不知道是不是甄嬛传留下来的坏毛病，现在古装剧的人都不好好讲话了，当然这个可能是我个人趣味。但最令我惊讶的是，这是部偏成人带色情化的动画电影。不是说情色低级，是处理的太低级，看的我鸡皮疙瘩直掉，不觉得美。床戏太突兀了，好尴尬。小青小白打廉价的姬情擦边球。
65,https://www.douban.com/people/163264347/,mua,20,2019-01-11 21:17:21,175,友情提醒，女生不要和自己的女性朋友去看。
66,https://www.douban.com/people/60599665/,肖恩恩恩恩肖,40,2019-01-14 22:38:54,53,确实超出预期了。虽然问题还是不少，比如结尾煽情太刻意，足足让主角哭了五分钟。白蛇的配音太做作，明明御姐人设，却很爱哼哼唧唧。但是故事讲这么顺实在难得，加上头一次在电影院看到动画角色的床戏真是震撼。一句话：女主角长得像杨超越的动画片运气不会太差。
67,https://www.douban.com/people/86010283/,游方百里,30,2019-03-08 23:13:33,1,"“人间多的是长了两只脚的恶人，多了条尾巴又能怎样”
观后感:美术效果不错，剧情还是有点硬伤"
68,https://www.douban.com/people/xxyilun/,阿伦和饭师傅,40,2019-01-03 20:08:58,67,虽然桥段俗套，但挺好看。 挺标准的商业片。
69,https://www.douban.com/people/nezhaboy/,哪吒男,20,2019-01-19 15:52:52,80,反派的“共享共有”可太吓人了
70,https://www.douban.com/people/iisakura/,萨库拉,40,2019-01-14 23:04:10,34,除了男主很像林更新女主很像杨颖，其他都超出预期。万万没想到是谍影重重加倩女幽魂加千与千寻再加仙剑，对《新白》也很聪明地致了敬，最后断桥上《前世今生》响起时简直哭出来。就是对少年之爱无法免疫。
71,https://www.douban.com/people/52286623/,what'swilliam,30,2019-01-13 19:08:00,19,3星半。水墨风果然还是国漫最华丽且难以复制的法宝。电影致敬了拍此题材无法绕过的两座大山《新白娘子传奇》和《青蛇》，尤其《青城山下白素贞》的旋律响起时，全场哼唱无人离场，有点感人。按理说动漫更容易塑造外型美到极致的形象，可本片中的女主形象总是让我分分钟感慨还是赵雅芝和王祖贤美，女主神似范文芳，男主像胡歌or佟梦实，小青gay里gay气的。斗法场面足够绚丽。剧本问题不小，“许仙”化身活力少年郎的想法很好，但总给人一种“色字当头的青春期少年看人家姑娘好看就一直跟着”之感，他一个捕蛇人怎么懂那么多的？猝不及防就床戏，还特么在佛塔里？猝不及防蛇王人设崩塌，男女主刚认识就谈理想，反派智商堪比草履虫。估计经费有限部分反派配角形象非常“网游”。很想去帮这部电影改改剧本。
72,https://www.douban.com/people/miumiu-li/,无耻不混蛋,30,2019-01-12 08:11:20,13,融合了动作、奇幻元素，让许仙与白娘子的传奇爱情，变成了动作奇幻大片。并融合了传统的中国特有的水墨动画晕染效果，总的来说，还是值得鼓励。
73,https://www.douban.com/people/fattyme/,雨女无瓜,30,2019-01-17 10:27:53,23,说实话真的觉得很一般
74,https://www.douban.com/people/120148116/,冬不贰,30,2019-01-13 09:45:57,25,这么好的技术，就不能好好打磨一下剧本？
75,https://www.douban.com/people/Houseby/,書衣偵探華斯比,50,2019-01-16 11:23:12,17,今生情尽空悲切，来世再续未了缘。
76,https://www.douban.com/people/ydyie/,时间之葬,40,2019-01-30 18:53:53,26,除了略微明显的网游质感，视觉上还是呈现了相当的想象力。值得玩味的是，一边是练道修仙求长生的国（Z）师（F）带来苛捐杂税，一边是民间领袖高呼共有共享实则一人独吞，让我想想这是在黑谁
77,https://www.douban.com/people/129647964/,Pronoia,20,2019-01-12 18:39:40,77,我略蠢 我佩服我自己
78,https://www.douban.com/people/reave/,谢谢你们的鱼,40,2019-01-11 18:31:54,48,“人间多的是长着两条腿的恶人，长条尾巴怎么了。”真的是没有白喜欢追光之前的作品，在修补了之前的很多的创作缺陷之后，我还是第一次看到一部把画面美学和故事美感结合得如此出色的国产动画，而且还真的是实打实的成人动画，小白真的是性感，吼吼吼～当然，故事不像《白蛇传》，倒是更像是失忆版的《倩女幽魂》。
79,https://www.douban.com/people/dreamfox/,乌鸦火堂,40,2019-01-20 22:16:16,16,追光动画最好的作品，其实也是被安利才看得，因为追光之前的作品全看了，对他们家有点灰心了，所以才刚看，还好终于起势了。画质不必多说，追光一贯的高品质，道具、场景设定是东方神韵，特效场面则是偏于西方。故事难得顺畅了一次，也很动人，结尾致敬断桥白娘子。台词一般，女角色人设都很好，男性角色相形见绌。许宣像胡歌，小白更像邱淑贞，小狐妖貌似圈粉无数
80,https://www.douban.com/people/ruo1996/,徐若风,40,2019-01-19 14:02:51,22,"在追光上一部《猫与桃花源》后，我曾说“事不过三，与它决裂”，所以这部拖了那么久才去看。但令人颇感意外的是，它几乎是我认知范围内，登上院线的国产商业主流三维动画里的最佳作品，是真正的行业顶尖，甚至放在国内都已经不具备可比性。如果说《大圣归来》之流算“分水岭”，那么这部简直就是一步极大的飞跃。
从模仿徐克的改编思路出发，这部电影不仅是一个紧凑、有趣的故事，善恶观模糊中又带着笃定的人物塑造，最厉害的是呈现了精致之余、非常扎实的美术世界里的奇幻唐朝，尤其是在“修葺木塔”这一建筑物的细节还原、宝青坊的奇观展示这两块，完全是教科书级别。可惜，情感线索的铺垫不够充分。"
81,https://www.douban.com/people/longzheking/,汪金卫,20,2019-01-14 22:04:37,78,动画技术方面，场景空间模型非常精致，水火效果和动物道具模型也都不错。相比之下人物角色建模就太差了，男女主造型和十几年前的国产游戏CG动画相当。尤其是毫无肉感的皮肤、面瘫表情脸与轻飘飘的重量质感，导致动作戏也显得略假，让人很出戏。距离外国动画团队差距还很大。剧情方面也较薄弱，架空历史讲玄幻，宝青坊主设定太奇怪。不是增加一场露背床戏就是成人向了。两星半
